jogador,nacao_codigo,posicao_original,posicao_principal,clube,liga,idade,jogos,minutos,noventas,Gls,Ast,G+A,Sh,SoT,SoT%,Crs,TklW,Int,GA90,Saves,Save%,CS%,gols_p90,assistencias_p90,participacoes_gol_p90,finalizacoes_p90,finalizacoes_gol_p90,cruzamentos_p90,desarmes_vencidos_p90,interceptacoes_p90,save_pct,clean_sheet_pct,score_ataque,score_meio,score_defesa,score_goleiro,indice_desempenho,incerteza_modelo,penalidade_baixa_amostra
Joan García,ESP,GK,GK,Barcelona,es La Liga,25.0,28,2520,28.0,0,0,0,0,0,,0,3,0,0.71,72.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.8,0.5,0.058338539609565275,0.12635614805084894,0.3664009440910295,0.7592188348687577,75.92188348687577,3.5124442831120266,1.0
Jean Butez,FRA,GK,GK,Como,it Serie A,30.0,35,3150,35.0,0,1,1,0,0,,0,2,0,0.8,81.0,77.1,48.6,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714,0.0,0.7709999999999999,0.486,0.1782857142857143,0.22742857142857142,0.33529283678485455,0.7476111612625272,74.76111612625273,3.04255531702266,1.0
Mile Svilar,SRB,GK,GK,Roma,it Serie A,26.0,35,3150,35.0,0,0,0,0,0,,0,1,1,0.83,101.0,78.3,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.7829999999999999,0.457,0.06,0.128,0.35844827289950293,0.7444820932524516,74.44820932524516,3.04255531702266,1.0
Mike Maignan,FRA,GK,GK,Milan,it Serie A,30.0,34,3025,33.6,0,0,0,0,0,,0,0,1,0.86,94.0,79.3,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02976190476190476,0.7929999999999999,0.41200000000000003,0.059698503837228835,0.11769324321154322,0.32430780389559133,0.7355464049719465,73.55464049719464,3.125394761225338,1.0
Ivan Provedel,ITA,GK,GK,Lazio,it Serie A,32.0,27,2430,27.0,0,0,0,0,0,,0,0,0,1.0,87.0,78.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7859999999999999,0.444,0.05806777008524495,0.08927554529884513,0.27496766020906505,0.7269824456026558,72.69824456026558,3.592916942788091,1.0
Michele Di Gregorio,ITA,GK,GK,Juventus,it Serie A,28.0,28,2475,27.5,0,0,0,0,0,,0,0,0,0.84,55.0,71.8,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.48100000000000004,0.05820438518862937,0.1066967560090816,0.3067350767981615,0.7147559494568705,71.47559494568705,3.552172975375507,1.0
David Raya,ESP,GK,GK,Arsenal,eng Premier League,30.0,35,3150,35.0,0,0,0,0,0,,1,1,1,0.74,56.0,68.7,48.6,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.687,0.486,0.14,0.33085714285714285,0.46477855107056887,0.7147492972826784,71.47492972826784,3.04255531702266,1.0
Lucas Chevalier,FRA,GK,GK,Paris Saint-Germain,fr Ligue 1,24.0,17,1530,17.0,0,0,0,0,0,,0,0,0,0.76,32.0,72.1,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721,0.529,0.05462379015466393,0.08224348491210094,0.2771366150419718,0.7142262045998765,71.42262045998766,4.7240552403430645,1.0
Marco Carnesecchi,ITA,GK,GK,Atalanta,it Serie A,25.0,35,3150,35.0,0,0,0,0,0,,1,0,0,0.91,100.0,76.2,37.1,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.762,0.371,0.14,0.28285714285714286,0.43265808195834365,0.7117979118922502,71.17979118922501,3.04255531702266,1.0
Gregor Kobel,SUI,GK,GK,Dortmund,de Bundesliga,28.0,33,2970,33.0,0,0,0,0,0,,0,0,0,1.03,85.0,74.6,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.424,0.059561878608577014,0.1036582623871936,0.31067539724878174,0.7109650910753554,71.09650910753554,3.1626058999640936,1.0
Vanja Milinković-Savić,SRB,GK,GK,Napoli,it Serie A,29.0,26,2340,26.0,0,1,1,0,0,,0,0,0,0.81,51.0,74.2,42.3,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.742,0.423,0.21701755397751074,0.23858750786745025,0.30100238315795047,0.7098458411344347,70.98458411344347,3.6776381160378793,1.0
Yann Sommer,SUI,GK,GK,Inter,it Serie A,37.0,32,2880,32.0,0,0,0,0,0,,0,0,0,0.94,61.0,70.5,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705,0.469,0.05933275886204371,0.08411034514939163,0.25164553447638344,0.7071290355232251,70.71290355232252,3.226463257869883,1.0
Thibaut Courtois,BEL,GK,GK,Real Madrid,es La Liga,33.0,28,2520,28.0,0,0,0,0,0,,0,1,0,0.86,58.0,74.4,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.7440000000000001,0.39299999999999996,0.058338539609565275,0.09778471947942036,0.28890479819172415,0.7039734948183799,70.39734948183799,3.5124442831120266,1.0
Gianluigi Donnarumma,ITA,GK,GK,Manchester City,eng Premier League,27.0,31,2790,31.0,0,0,0,0,0,,0,0,1,0.9,69.0,71.4,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.7140000000000001,0.419,0.059096366835579464,0.10460160739367584,0.33002169182602004,0.6994453924263228,69.94453924263227,3.2931376474433174,1.0
Hervé Koffi,BFA,GK,GK,Angers,fr Ligue 1,29.0,28,2520,28.0,0,0,0,0,0,,0,1,0,1.25,113.0,77.2,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.772,0.35700000000000004,0.058338539609565275,0.1492132909079918,0.3235438012338867,0.6913756106873975,69.13756106873976,3.5124442831120266,1.0
Janis Blaswich,GER,GK,GK,Leverkusen,de Bundesliga,35.0,11,931,10.3,0,0,0,0,0,,0,0,0,0.87,41.0,82.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.3,0.05092684933686519,0.06790246578248692,0.21325489183745877,0.6812682949687132,68.12682949687132,6.2134692865234555,1.0
David Soria,ESP,GK,GK,Getafe,es La Liga,33.0,34,3060,34.0,0,0,0,0,0,,0,0,0,1.06,103.0,74.5,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.294,0.05978416019687047,0.09382986065465082,0.2739380111081133,0.6791487121708455,67.91487121708455,3.101363852773794,1.0
Dominik Greif,SVK,GK,GK,Lyon,fr Ligue 1,29.0,27,2430,27.0,0,1,1,0,0,,0,0,0,1.15,72.0,70.7,40.7,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.7070000000000001,0.40700000000000003,0.21140110341857826,0.23297924900254885,0.3006259980800969,0.6788771055522781,67.88771055522781,3.592916942788091,1.0
Matvei Safonov,RUS,GK,GK,Paris Saint-Germain,fr Ligue 1,27.0,13,1170,13.0,0,0,0,0,0,,0,0,0,0.92,25.0,66.7,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.5379999999999999,0.0526271628123208,0.08247724272412005,0.2807974357654201,0.6783622505741256,67.83622505741256,5.4838242452056765,1.0
Augusto Batalla,ARG,GK,GK,Rayo Vallecano,es La Liga,30.0,31,2790,31.0,0,0,0,0,0,,0,1,0,1.13,84.0,73.5,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.735,0.32299999999999995,0.059096366835579464,0.10718225255496616,0.31020234228826116,0.6759558710157435,67.59558710157435,3.2931376474433174,1.0
Robin Risser,FRA,GK,GK,Lens,fr Ligue 1,21.0,32,2880,32.0,0,1,1,0,0,,0,0,0,1.03,75.0,70.9,34.4,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.7090000000000001,0.344,0.1887077588620437,0.20536034514939167,0.2713723356083094,0.6751818314929985,67.51818314929984,3.226463257869883,1.0
Moritz Nicolas,GER,GK,GK,Gladbach,de Bundesliga,28.0,32,2880,32.0,0,0,0,0,0,,0,1,0,1.56,126.0,73.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.737,0.375,0.05933275886204371,0.09661034514939162,0.3311997438773455,0.6730216299816634,67.30216299816634,3.226463257869883,1.0
Edoardo Corvi,ITA,GK,GK,Parma,it Serie A,25.0,16,1440,16.0,0,0,0,0,0,,0,0,0,1.13,43.0,74.6,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,0.375,0.05417254079748489,0.12223005439664653,0.2790418448815531,0.6708359370894252,67.08359370894253,4.888497280167674,1.0
Berke Özer,TUR,GK,GK,Lille,fr Ligue 1,25.0,30,2654,29.5,0,1,1,0,0,,0,2,0,1.09,65.0,67.7,40.0,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0,0.06779661016949153,0.0,0.677,0.4,0.19906326531799723,0.27490921251439177,0.33859417522706586,0.6703644273380844,67.03644273380844,3.399116473290647,1.0
Luiz Lúcio Reis Júnior,BRA,GK,GK,Villarreal,es La Liga,25.0,28,2520,28.0,0,0,0,0,0,,0,0,1,1.07,72.0,74.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.74,0.28600000000000003,0.058338539609565275,0.11207043376513465,0.32825808694817243,0.668150018747851,66.8150018747851,3.5124442831120266,1.0
Łukasz Skorupski,POL,GK,GK,Bologna,it Serie A,35.0,17,1412,15.7,0,0,0,0,0,,0,0,0,0.96,30.0,69.8,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.41200000000000003,0.05402638768073121,0.15356384599469045,0.2249498831709127,0.6674300804094848,66.74300804094848,4.941031007410205,1.0
Jan Oblak,SVN,GK,GK,Atlético Madrid,es La Liga,33.0,28,2520,28.0,0,0,0,0,0,,0,0,0,1.07,64.0,69.6,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.35700000000000004,0.058338539609565275,0.10064186233656322,0.26926194104886697,0.666710018747851,66.67100187478509,3.5124442831120266,1.0
Dean Henderson,ENG,GK,GK,Crystal Palace,eng Premier League,29.0,33,2970,33.0,0,0,0,0,0,,0,0,1,1.27,92.0,71.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.713,0.33299999999999996,0.059561878608577014,0.11335523208416329,0.3294964617188778,0.6655925469947509,66.55925469947509,3.1626058999640936,1.0
Álvaro Vallés,ESP,GK,GK,Real Betis,es La Liga,28.0,25,2250,25.0,0,0,0,0,0,,0,0,0,1.2,76.0,73.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735,0.32,0.0574947824062641,0.1022597098750188,0.3023464451245487,0.6651451482817395,66.51451482817396,3.76701450624906,1.0
Alexander Nübel,GER,GK,GK,Stuttgart,de Bundesliga,29.0,32,2880,32.0,0,1,1,0,0,,0,0,1,1.44,98.0,71.5,34.4,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.03125,0.715,0.344,0.1887077588620437,0.22536034514939163,0.335136338650472,0.6611779020219657,66.11779020219657,3.226463257869883,1.0
Kevin Trapp,GER,GK,GK,Paris FC,fr Ligue 1,35.0,20,1800,20.0,0,0,0,0,0,,0,0,1,1.3,52.0,72.6,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.726,0.35,0.0558335582688475,0.13844474435846332,0.2783849907323855,0.6570344737719345,65.70344737719344,4.302685141576454,1.0
Bart Verbruggen,NED,GK,GK,Brighton,eng Premier League,23.0,35,3150,35.0,0,0,0,0,0,,0,1,0,1.2,96.0,72.4,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.7240000000000001,0.257,0.06,0.096,0.3092530533119517,0.6567902544615198,65.67902544615198,3.04255531702266,1.0
Donovan Léon,GUF,GK,GK,Auxerre,fr Ligue 1,33.0,27,2280,25.3,0,0,0,0,0,,0,2,0,1.34,90.0,73.6,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07905138339920949,0.0,0.736,0.29600000000000004,0.05759339395538819,0.1400322986598852,0.30657391170629633,0.6559690479387048,65.59690479387048,3.7390328791680685,1.0
Jordan Pickford,ENG,GK,GK,Everton,eng Premier League,32.0,35,3150,35.0,0,0,0,0,0,,0,1,0,1.26,92.0,68.9,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.6890000000000001,0.314,0.06,0.1142857142857143,0.29842831551588334,0.6533521184413686,65.33521184413686,3.04255531702266,1.0
