jogador,nacao_codigo,posicao_principal,clube,liga,minutos,indice_desempenho
Joan García,ESP,GK,Barcelona,es La Liga,2520,75.92188348687577
Jean Butez,FRA,GK,Como,it Serie A,3150,74.76111612625273
Mile Svilar,SRB,GK,Roma,it Serie A,3150,74.44820932524516
Mike Maignan,FRA,GK,Milan,it Serie A,3025,73.55464049719464
Ivan Provedel,ITA,GK,Lazio,it Serie A,2430,72.69824456026558
Michele Di Gregorio,ITA,GK,Juventus,it Serie A,2475,71.47559494568705
David Raya,ESP,GK,Arsenal,eng Premier League,3150,71.47492972826784
Lucas Chevalier,FRA,GK,Paris Saint-Germain,fr Ligue 1,1530,71.42262045998766
Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,3150,71.17979118922501
Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,2970,71.09650910753554
Vanja Milinković-Savić,SRB,GK,Napoli,it Serie A,2340,70.98458411344347
Yann Sommer,SUI,GK,Inter,it Serie A,2880,70.71290355232252
Thibaut Courtois,BEL,GK,Real Madrid,es La Liga,2520,70.39734948183799
Gianluigi Donnarumma,ITA,GK,Manchester City,eng Premier League,2790,69.94453924263227
Hervé Koffi,BFA,GK,Angers,fr Ligue 1,2520,69.13756106873976
Janis Blaswich,GER,GK,Leverkusen,de Bundesliga,931,68.12682949687132
David Soria,ESP,GK,Getafe,es La Liga,3060,67.91487121708455
Dominik Greif,SVK,GK,Lyon,fr Ligue 1,2430,67.88771055522781
Matvei Safonov,RUS,GK,Paris Saint-Germain,fr Ligue 1,1170,67.83622505741256
Augusto Batalla,ARG,GK,Rayo Vallecano,es La Liga,2790,67.59558710157435
Robin Risser,FRA,GK,Lens,fr Ligue 1,2880,67.51818314929984
Moritz Nicolas,GER,GK,Gladbach,de Bundesliga,2880,67.30216299816634
Edoardo Corvi,ITA,GK,Parma,it Serie A,1440,67.08359370894253
Berke Özer,TUR,GK,Lille,fr Ligue 1,2654,67.03644273380844
Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,es La Liga,2520,66.8150018747851
Łukasz Skorupski,POL,GK,Bologna,it Serie A,1412,66.74300804094848
Jan Oblak,SVN,GK,Atlético Madrid,es La Liga,2520,66.67100187478509
Dean Henderson,ENG,GK,Crystal Palace,eng Premier League,2970,66.55925469947509
Álvaro Vallés,ESP,GK,Real Betis,es La Liga,2250,66.51451482817396
Alexander Nübel,GER,GK,Stuttgart,de Bundesliga,2880,66.11779020219657
